Run,Model,Year,CAA,PCAA,CPUE,Pwaa,waa,steepness,lambda,max_bias_adj,sigmaR
1,SWO_2017_IOTC,1950-2015,CAA2012.csv,PCAA2012.csv,CPUE2012.csv,waa2012.csv,fecaa2012.csv,75,NA,NA,NA
1,YFT_2016_IOTC,1950-2016,CAA2012.csv,PCAA2012.csv,CPUE2012.csv,waa2012.csv,fecaa2012.csv,80,1,NA,NA
h70,BET_2016_IOTC,1975-2016,CAA2012.csv,PCAA2012.csv,CPUE2012.csv,waa2012.csv,fecaa2012.csv,70,0.1,NA,NA
h80,BET_2016_IOTC,1975-2016,CAA2012.csv,PCAA2012.csv,CPUE2012.csv,waa2012.csv,fecaa2012.csv,80,0.1,NA,NA
h90,BET_2016_IOTC,1975-2016,CAA2012.csv,PCAA2012.csv,CPUE2012.csv,waa2012.csv,fecaa2012.csv,90,0.1,NA,NA
1,SKJ_2017_IOTC,1950-2016,CAA2012.csv,PCAA2012.csv,CPUE2012.csv,waa2012.csv,fecaa2012.csv,80,NA,NA,NA
VRE,BFT_2017_ICCAT,1950-2016,CAA2012.csv,PCAA2012.csv,CPUE2012.csv,waa2012.csv,fecaa2012.csv,90,NA,NA,NA
82J,BFT_2017_ICCAT,1950-2016,CAA2012.csv,PCAA2012.csv,CPUE2012.csv,waa2012.csv,fecaa2012.csv,90,NA,NA,NA
82Z,BFT_2017_ICCAT,1950-2016,CAA2012.csv,PCAA2012.csv,CPUE2012.csv,waa2012.csv,fecaa2012.csv,90,NA,NA,NA
82AB,BFT_2017_ICCAT,1950-2016,CAA2012.csv,PCAA2012.csv,CPUE2012.csv,waa2012.csv,fecaa2012.csv,90,NA,NA,NA
S_18022017_171204_mba9417_sigmaR65,GAJ_2015_WECAFC,1950-2015,CAA2012.csv,PCAA2012.csv,CPUE2012.csv,waa2012.csv,fecaa2012.csv,85,NA,0.9417 ,0.65
VRE_Z_21022018_141943_mba9417_sigmaR65,GAJ_2015_WECAFC,1950-2015,CAA2012.csv,PCAA2012.csv,CPUE2012.csv,waa2012.csv,fecaa2012.csv,85,NA,0.9417 ,0.65
